k,Im_rho_0,Re_eps,Im_eps,delta_Re,delta_Im,Ck_Re,Ck_Im
52,1593.584808189,0.49999358048148035,1593.5848066436208,-6.41951851965139e-06,-1.5453790638275677e-06,-0.7709783104583895,-0.18559861397708802
53,1610.253823163,0.49999310169410466,1610.2537898010216,-6.898305895342016e-06,-3.336197846692812e-05,-0.8284802369422485,-4.006743140197095
54,1611.43714127,0.5000053071771756,1611.4371367809626,5.307177175617461e-06,-4.489037337407353e-06,0.6373871310808333,-0.5391292838215683
55,1632.798183571,0.4999950658345472,1632.7981922756205,-4.934165452774586e-06,8.704620540811447e-06,-0.5925887638858135,1.045416975929317
56,1660.860056833,0.4999913956178236,1660.8600639320239,-8.604382176424785e-06,7.099023832779494e-06,-1.0333784399267545,0.8525862778876125
57,1706.615665035,0.4999841266424617,1706.6156610175826,-1.5873357538276345e-05,-4.017417268187273e-06,-1.9063757412178661,-0.4824881442980217
58,1728.64448648,0.49999490646298356,1728.6444855615127,-5.093537016442884e-06,-9.184873306367081e-07,-0.6117291431083302,-0.11030948943974389
59,1738.783237589,0.5000020955121243,1738.783239161337,2.0955121242671737e-06,1.5723369415354682e-06,0.25166909203033355,0.18883623046579465
60,1743.426436859,0.5000045780111962,1743.4264323267996,4.578011196243459e-06,-4.532200364337768e-06,0.5498149629967956,-0.5443131239297029
61,1783.08482952,0.5000072791602683,1783.0848226993444,7.279160268325313e-06,-6.820655698902556e-06,0.8742204992554565,-0.8191545192775367
62,1784.607946397,0.5000056071107272,1784.6079468783785,5.607110727168241e-06,4.813784926227527e-07,0.6734088766551357,0.05781311726061512
63,1799.23164721,0.4999955607914468,1799.2316446327172,-4.43920855319746e-06,-2.5772826575121144e-06,-0.533144892352841,-0.30952929301157356
64,1816.758023365,0.4999917948534212,1816.7580064905526,-8.205146578788014e-06,-1.6874447510417667e-05,-0.9854306093225429,-2.026605732450957
65,1823.766265896,0.5000057438062825,1823.7662644184975,5.743806282487718e-06,-1.4775025647395523e-06,0.6898258879878025,-0.17744670843674068
66,1833.273239033,0.5000128586449224,1833.2732097862129,1.2858644922397744e-05,-2.9246787107695127e-05,1.5443115097661442,-3.512512416873827
67,1842.875955279,0.5000054049119212,1842.8759589699719,5.404911921247368e-06,3.6909718801325653e-06,0.649124984757579,0.4432823513761844
68,1846.353253421,0.5000082210163098,1846.3532511295712,8.221016309817308e-06,-2.291428927492234e-06,0.9873365495233446,-0.27519852114226456
69,1851.400361995,0.4999963411302349,1851.40035716626,-3.6588697651107616e-06,-4.8287399749824544e-06,-0.43942691668495537,-0.5799272603012955
70,1855.592934937,0.4999890000181386,1855.5929395807357,-1.0999981861381514e-05,4.643735564968665e-06,-1.3210877738882814,0.5577083996463802
71,1865.367433794,0.5000029218928687,1865.3674347365072,2.921892868656961e-06,9.425073130842065e-07,0.3509166645943244,0.11319426739122462
72,1887.053894807,0.5000031104481453,1887.0538960955673,3.110448145271505e-06,1.2885673186247004e-06,0.37356198108453836,0.15475575795661356
73,1895.697155654,0.4999908905520628,1895.6971572801133,-9.109447937194481e-06,1.6261133168882225e-06,-1.0940363764552632,0.19529472402494932
74,1910.733659616,0.5000039592501442,1910.7336626713538,3.95925014418097e-06,3.05535377265187e-06,0.4755023258361975,0.36694519725752356
75,1940.977326706,0.50000286779956,1940.9773370463947,2.867799560046791e-06,1.0340394737795577e-05,0.344420107640449,1.241871962829291
76,1958.851883463,0.5000079351331307,1958.851861881352,7.93513313068761e-06,-2.1581647843049723e-05,0.9530022408428461,-2.591936192723375
77,1965.377829505,0.4999910488912624,1965.3778272800569,-8.951108737609292e-06,-2.2249430458032293e-06,-1.0750199832161405,-0.26721362748131305
78,1981.748768897,0.49999273129181493,1981.7487614561423,-7.26870818507086e-06,-7.440857643814525e-06,-0.8729652136037958,-0.8936402063532091
